file_name,initial_shape,initial_dtype,initial_voxel_size,initial_total_voxels,initial_file_size_MB,final_shape,final_dtype,final_voxel_size,final_total_voxels,final_file_size_MB
D:/strokeDataset\sub-1248\anat\sub-1248_FLAIR.nii.gz,"(336, 221, 336)",float64,"(np.float32(0.60267663), np.float32(0.999999), np.float32(0.60267663))",24950016,5.440832138061523,"(336, 221, 336)",float64,"(np.float32(0.60267663), np.float32(0.999999), np.float32(0.60267663))",24950016,5.440832138061523
D:/strokeDataset\sub-1248\anat\sub-1248_T1w.nii.gz,"(170, 256, 256)",float64,"(np.float32(1.0000063), np.float32(1.0), np.float32(1.0))",11141120,2.974588394165039,"(170, 256, 256)",float64,"(np.float32(1.0000063), np.float32(1.0), np.float32(1.0))",11141120,2.974588394165039
D:/strokeDataset\sub-1248\dwi\sub-1248_rec-ADC_dwi.nii.gz,"(288, 288, 26, 1)",float64,"(np.float32(0.8680555), np.float32(0.8680556), np.float32(5.999999), np.float32(0.0))",2156544,0.878016471862793,"(288, 288, 26)",float64,"(np.float32(0.8680555), np.float32(0.8680556), np.float32(5.999999))",2156544,0.8780136108398438
D:/strokeDataset\sub-1248\dwi\sub-1248_rec-TRACE_dwi.nii.gz,"(288, 288, 26, 1)",float64,"(np.float32(0.8680555), np.float32(0.8680556), np.float32(5.999999), np.float32(0.0))",2156544,0.5353116989135742,"(288, 288, 26)",float64,"(np.float32(0.8680555), np.float32(0.8680556), np.float32(5.999999))",2156544,0.5518531799316406
D:/strokeDataset\sub-1249\anat\sub-1249_FLAIR.nii.gz,"(200, 512, 512)",float64,"(np.float32(0.8999968), np.float32(0.48924726), np.float32(0.48924735))",52428800,14.709659576416016,"(200, 512, 512)",float64,"(np.float32(0.8999968), np.float32(0.48924726), np.float32(0.48924735))",52428800,14.709659576416016
D:/strokeDataset\sub-1249\anat\sub-1249_T1w.nii.gz,"(370, 528, 528)",float64,"(np.float32(0.4999921), np.float32(0.47489437), np.float32(0.4748944))",103150080,31.77204132080078,"(370, 528, 528)",float64,"(np.float32(0.4999921), np.float32(0.47489437), np.float32(0.4748944))",103150080,31.77204132080078
D:/strokeDataset\sub-1249\dwi\sub-1249_rec-ADC_dwi.nii.gz,"(224, 224, 26, 1)",float64,"(np.float32(1.022399), np.float32(1.0223991), np.float32(5.999998), np.float32(0.0))",1304576,0.5261335372924805,"(224, 224, 26)",float64,"(np.float32(1.022399), np.float32(1.0223991), np.float32(5.999998))",1304576,0.5261306762695312
D:/strokeDataset\sub-1249\dwi\sub-1249_rec-TRACE_dwi.nii.gz,"(224, 224, 26, 1)",float64,"(np.float32(1.022399), np.float32(1.0223991), np.float32(5.999998), np.float32(0.0))",1304576,0.5767583847045898,"(224, 224, 26)",float64,"(np.float32(1.022399), np.float32(1.0223991), np.float32(5.999998))",1304576,0.6134939193725586
D:/strokeDataset\sub-125\anat\sub-125_FLAIR.nii.gz,"(256, 256, 30)",float64,"(np.float32(0.8918047), np.float32(0.89180475), np.float32(6.0000024))",1966080,0.727238655090332,"(256, 256, 30)",float64,"(np.float32(0.8918047), np.float32(0.89180475), np.float32(6.0000024))",1966080,0.727238655090332
D:/strokeDataset\sub-125\anat\sub-125_T1w.nii.gz,"(288, 288, 29)",float64,"(np.float32(0.83333325), np.float32(0.8333333), np.float32(5.999994))",2405376,0.9644088745117188,"(288, 288, 29)",float64,"(np.float32(0.83333325), np.float32(0.8333333), np.float32(5.999994))",2405376,0.9644088745117188
